source = 1
distance[1] = 0, parent[1] = 1, path[1] = 1
distance[2] = 2, parent[2] = 536, path[2] = 1 536 2
distance[3] = 2, parent[3] = 495, path[3] = 1 495 3
distance[4] = 1, parent[4] = 1, path[4] = 1 4
distance[5] = 2, parent[5] = 495, path[5] = 1 495 5
distance[6] = 2, parent[6] = 782, path[6] = 1 782 6
distance[7] = 3, parent[7] = 1, path[7] = 1 7
distance[8] = 2, parent[8] = 337, path[8] = 1 337 8
distance[9] = 2, parent[9] = 316, path[9] = 1 316 9
distance[10] = 2, parent[10] = 52, path[10] = 1 52 10
distance[11] = 3, parent[11] = 144, path[11] = 1 144 11
distance[12] = 2, parent[12] = 144, path[12] = 1 144 12
distance[13] = 3, parent[13] = 152, path[13] = 1 152 13
distance[14] = 2, parent[14] = 500, path[14] = 1 500 14
distance[15] = 2, parent[15] = 579, path[15] = 1 579 15
distance[16] = 2, parent[16] = 144, path[16] = 1 144 16
distance[17] = 2, parent[17] = 1, path[17] = 1 17
distance[18] = 2, parent[18] = 4, path[18] = 1 4 18
distance[19] = 2, parent[19] = 316, path[19] = 1 316 19
distance[20] = 3, parent[20] = 144, path[20] = 1 144 20
distance[21] = 2, parent[21] = 673, path[21] = 1 673 21
distance[22] = 2, parent[22] = 595, path[22] = 1 595 22
distance[23] = 2, parent[23] = 969, path[23] = 1 969 23
distance[24] = 3, parent[24] = 144, path[24] = 1 144 24
distance[25] = 3, parent[25] = 522, path[25] = 1 522 25
distance[26] = 2, parent[26] = 4, path[26] = 1 4 26
distance[27] = 2, parent[27] = 595, path[27] = 1 595 27
distance[28] = 3, parent[28] = 595, path[28] = 1 595 28
distance[29] = 2, parent[29] = 190, path[29] = 1 190 29
distance[30] = 2, parent[30] = 4, path[30] = 1 4 30
distance[31] = 2, parent[31] = 152, path[31] = 1 152 31
distance[32] = 3, parent[32] = 337, path[32] = 1 337 32
distance[33] = 3, parent[33] = 63, path[33] = 1 703 63 33
distance[34] = 2, parent[34] = 631, path[34] = 1 631 34
distance[35] = 2, parent[35] = 877, path[35] = 1 877 35
distance[36] = 3, parent[36] = 536, path[36] = 1 536 36
distance[37] = 2, parent[37] = 144, path[37] = 1 144 37
distance[38] = 3, parent[38] = 39, path[38] = 1 603 39 38
distance[39] = 2, parent[39] = 603, path[39] = 1 603 39
distance[40] = 3, parent[40] = 331, path[40] = 1 331 40
